Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Rice,112,cups,Grains,Tomato Soup,Soup,Medium,304,14,5,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,51,93
Tomato,148,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,195,23,13,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,39,72
Spinach,54,slices,Dairy,Rice Pilaf,Snack,Hard,437,38,39,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,44,37
Beef,107,grams,Proteins,Beef Stir-Fry,Dinner,Medium,205,8,40,26,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,30,87
Lettuce,190,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,494,49,38,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,54,111
Potato,61,cups,Grains,Mashed Potatoes,Side Dish,Medium,263,30,40,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,44,13
Carrot,160,pieces,Vegetables,Carrot Soup,Soup,Medium,173,11,19,7,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,28,86
Onion,97,slices,Vegetables,Onion Rings,Snack,Medium,311,48,48,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,40,94
Chicken,72,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,214,15,26,14,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,35,16
Broccoli,171,ounces,Vegetables,Broccoli Salad,Lunch,Medium,436,16,46,22,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,40,32
Rice,55,cups,Grains,Tomato Soup,Soup,Medium,456,50,15,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,52,67
Tomato,137,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,237,32,50,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,5,60
Spinach,145,slices,Dairy,Rice Pilaf,Snack,Hard,427,44,38,49,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,8,55
Beef,198,grams,Proteins,Beef Stir-Fry,Dinner,Medium,238,40,22,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,18,82
Lettuce,93,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,114,26,8,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,25,15
Potato,127,cups,Grains,Mashed Potatoes,Side Dish,Medium,341,40,33,28,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,50,13
Carrot,153,pieces,Vegetables,Carrot Soup,Soup,Medium,351,43,29,23,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,19,69
Onion,63,slices,Vegetables,Onion Rings,Snack,Medium,159,19,13,25,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,19,119
Chicken,117,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,240,38,21,10,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,43,11
Broccoli,152,ounces,Vegetables,Broccoli Salad,Lunch,Medium,134,28,47,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,47,60
Rice,92,cups,Grains,Tomato Soup,Soup,Medium,341,33,39,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,58,102
Tomato,63,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,408,19,20,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,7,89
Spinach,160,slices,Dairy,Rice Pilaf,Snack,Hard,159,16,16,45,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,22,41
Beef,60,grams,Proteins,Beef Stir-Fry,Dinner,Medium,491,28,35,6,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,40,67
Lettuce,120,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,280,7,19,38,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,59,45
Potato,186,cups,Grains,Mashed Potatoes,Side Dish,Medium,192,10,46,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,8,103
Carrot,148,pieces,Vegetables,Carrot Soup,Soup,Medium,299,48,33,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,7,87
Onion,119,slices,Vegetables,Onion Rings,Snack,Medium,406,22,8,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,7,81
Chicken,120,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,349,26,46,15,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,44,85
Broccoli,115,ounces,Vegetables,Broccoli Salad,Lunch,Medium,132,17,8,47,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,54,64
Rice,82,cups,Grains,Tomato Soup,Soup,Medium,425,30,26,38,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,56,78
Tomato,181,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,440,18,45,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,35,114
Spinach,80,slices,Dairy,Rice Pilaf,Snack,Hard,158,42,14,23,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,54,106
Beef,91,grams,Proteins,Beef Stir-Fry,Dinner,Medium,391,5,11,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,19,27
Lettuce,53,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,280,30,28,48,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,9,22
Potato,162,cups,Grains,Mashed Potatoes,Side Dish,Medium,237,33,31,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,25,88
Carrot,88,pieces,Vegetables,Carrot Soup,Soup,Medium,426,25,6,25,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,14,15
Onion,143,slices,Vegetables,Onion Rings,Snack,Medium,245,9,13,47,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,43,26
Chicken,194,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,340,47,46,45,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,35,113
Broccoli,95,ounces,Vegetables,Broccoli Salad,Lunch,Medium,287,40,35,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,53,54
Rice,158,cups,Grains,Tomato Soup,Soup,Medium,386,35,5,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,25,67
Tomato,192,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,404,47,35,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,25,106
Spinach,68,slices,Dairy,Rice Pilaf,Snack,Hard,437,26,35,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,37,32
Beef,155,grams,Proteins,Beef Stir-Fry,Dinner,Medium,310,42,10,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,29,100
Lettuce,188,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,103,12,12,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,60,88
Potato,75,cups,Grains,Mashed Potatoes,Side Dish,Medium,200,27,17,7,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,4,30,85
Carrot,185,pieces,Vegetables,Carrot Soup,Soup,Medium,434,19,32,30,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,23,119
Onion,122,slices,Vegetables,Onion Rings,Snack,Medium,332,27,7,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,25,94
Chicken,174,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,229,41,28,22,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,7,60
Broccoli,61,ounces,Vegetables,Broccoli Salad,Lunch,Medium,227,50,8,23,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,29,13
Rice,117,cups,Grains,Tomato Soup,Soup,Medium,483,50,24,44,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,27,91
Tomato,60,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,323,23,42,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,14,16
Spinach,170,slices,Dairy,Rice Pilaf,Snack,Hard,361,37,10,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,13,91
Beef,74,grams,Proteins,Beef Stir-Fry,Dinner,Medium,449,12,48,36,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,24,64
Lettuce,180,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,120,36,22,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,49,70
Potato,79,cups,Grains,Mashed Potatoes,Side Dish,Medium,364,24,33,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,36,66
Carrot,198,pieces,Vegetables,Carrot Soup,Soup,Medium,285,45,25,22,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,44,107
Onion,78,slices,Vegetables,Onion Rings,Snack,Medium,445,42,22,49,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,54,31
Chicken,158,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,308,34,35,20,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,33,91
Broccoli,186,ounces,Vegetables,Broccoli Salad,Lunch,Medium,442,30,47,29,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,37,37
Rice,111,cups,Grains,Tomato Soup,Soup,Medium,415,29,5,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,32,80
Tomato,137,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,285,12,10,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,25,56
Spinach,85,slices,Dairy,Rice Pilaf,Snack,Hard,202,15,23,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,47,58
Beef,146,grams,Proteins,Beef Stir-Fry,Dinner,Medium,449,36,37,28,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,10,43
Lettuce,128,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,310,50,18,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,17,60
Potato,118,cups,Grains,Mashed Potatoes,Side Dish,Medium,190,38,36,23,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,41,28
Carrot,132,pieces,Vegetables,Carrot Soup,Soup,Medium,253,50,26,6,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,37,106
Onion,122,slices,Vegetables,Onion Rings,Snack,Medium,209,6,13,39,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,8,100
Chicken,63,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,437,49,29,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,56,89
Broccoli,108,ounces,Vegetables,Broccoli Salad,Lunch,Medium,330,21,24,29,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,55,41
Rice,190,cups,Grains,Tomato Soup,Soup,Medium,349,46,45,48,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,41,59
Tomato,69,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,223,37,33,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,9,58
Spinach,59,slices,Dairy,Rice Pilaf,Snack,Hard,115,26,23,47,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,33,27
Beef,198,grams,Proteins,Beef Stir-Fry,Dinner,Medium,446,50,36,10,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,45,82
Lettuce,169,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,369,27,40,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,48,30
Potato,142,cups,Grains,Mashed Potatoes,Side Dish,Medium,125,47,10,19,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,25,32
Carrot,100,pieces,Vegetables,Carrot Soup,Soup,Medium,378,13,9,15,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,44,76
Onion,166,slices,Vegetables,Onion Rings,Snack,Medium,498,28,5,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,34,28
Chicken,172,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,213,34,50,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,54,111
Broccoli,142,ounces,Vegetables,Broccoli Salad,Lunch,Medium,233,47,38,6,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,7,22
Rice,179,cups,Grains,Tomato Soup,Soup,Medium,361,30,46,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,26,88
Tomato,129,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,397,5,31,43,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,32,45
Spinach,145,slices,Dairy,Rice Pilaf,Snack,Hard,434,34,22,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,50,76
Beef,173,grams,Proteins,Beef Stir-Fry,Dinner,Medium,340,29,11,6,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,22,88
Lettuce,118,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,496,13,19,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,35,89
Potato,129,cups,Grains,Mashed Potatoes,Side Dish,Medium,203,8,18,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,45,22
Carrot,152,pieces,Vegetables,Carrot Soup,Soup,Medium,406,20,15,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,49,111
Onion,92,slices,Vegetables,Onion Rings,Snack,Medium,207,49,11,17,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,20,70
Chicken,196,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,289,25,46,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,58,21
Broccoli,99,ounces,Vegetables,Broccoli Salad,Lunch,Medium,463,5,45,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,58,107
Rice,154,cups,Grains,Tomato Soup,Soup,Medium,274,46,38,45,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,22,117
Tomato,167,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,294,31,22,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,28,13
Spinach,174,slices,Dairy,Rice Pilaf,Snack,Hard,181,28,8,47,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,28,36
Beef,103,grams,Proteins,Beef Stir-Fry,Dinner,Medium,463,28,37,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,6,73
Lettuce,193,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,222,45,11,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,17,72
Potato,87,cups,Grains,Mashed Potatoes,Side Dish,Medium,133,6,11,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,45,66
Carrot,114,pieces,Vegetables,Carrot Soup,Soup,Medium,452,10,35,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,7,96
Onion,104,slices,Vegetables,Onion Rings,Snack,Medium,141,29,39,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,34,109
Chicken,100,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,112,22,14,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,46,85
Broccoli,68,ounces,Vegetables,Broccoli Salad,Lunch,Medium,435,39,41,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,48,105
Rice,188,cups,Grains,Tomato Soup,Soup,Medium,108,18,46,29,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,34,15
Tomato,103,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,338,6,6,20,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,56,101
Spinach,156,slices,Dairy,Rice Pilaf,Snack,Hard,416,6,11,17,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,17,115
Beef,128,grams,Proteins,Beef Stir-Fry,Dinner,Medium,147,18,26,27,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,30,50
Lettuce,123,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,487,13,8,7,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,34,113
Potato,177,cups,Grains,Mashed Potatoes,Side Dish,Medium,228,13,24,7,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,36,117
Carrot,72,pieces,Vegetables,Carrot Soup,Soup,Medium,259,19,47,37,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,16,107
Onion,130,slices,Vegetables,Onion Rings,Snack,Medium,190,46,19,25,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,15,44
Chicken,102,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,327,41,36,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,58,22
Broccoli,97,ounces,Vegetables,Broccoli Salad,Lunch,Medium,405,26,18,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,17,68
Rice,191,cups,Grains,Tomato Soup,Soup,Medium,394,30,37,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,19,98
Tomato,193,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,382,6,30,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,47,60
Spinach,157,slices,Dairy,Rice Pilaf,Snack,Hard,404,6,33,23,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,44,97
Beef,56,grams,Proteins,Beef Stir-Fry,Dinner,Medium,415,24,45,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,21,41
Lettuce,151,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,385,24,25,35,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,7,59
Potato,130,cups,Grains,Mashed Potatoes,Side Dish,Medium,396,17,14,5,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,44,98
Carrot,77,pieces,Vegetables,Carrot Soup,Soup,Medium,223,14,36,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,33,113
Onion,152,slices,Vegetables,Onion Rings,Snack,Medium,352,41,24,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,47,77
Chicken,65,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,311,45,37,21,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,54,53
Broccoli,69,ounces,Vegetables,Broccoli Salad,Lunch,Medium,493,14,45,44,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,30,113
Rice,93,cups,Grains,Tomato Soup,Soup,Medium,450,5,28,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,54,92
Tomato,134,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,319,50,20,11,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,43,92
Spinach,149,slices,Dairy,Rice Pilaf,Snack,Hard,314,46,35,25,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,21,43
Beef,159,grams,Proteins,Beef Stir-Fry,Dinner,Medium,500,7,28,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,14,34
Lettuce,185,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,215,37,22,35,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,15,112
Potato,164,cups,Grains,Mashed Potatoes,Side Dish,Medium,207,31,30,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,55,43
Carrot,179,pieces,Vegetables,Carrot Soup,Soup,Medium,266,10,45,22,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,14,120
Onion,91,slices,Vegetables,Onion Rings,Snack,Medium,349,22,7,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,28,95
Chicken,180,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,329,42,13,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,23,26
Broccoli,75,ounces,Vegetables,Broccoli Salad,Lunch,Medium,310,8,37,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,20,96
Rice,73,cups,Grains,Tomato Soup,Soup,Medium,364,45,26,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,38,23
Tomato,156,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,437,44,25,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,17,118
Spinach,56,slices,Dairy,Rice Pilaf,Snack,Hard,261,26,34,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,52,55
Beef,191,grams,Proteins,Beef Stir-Fry,Dinner,Medium,355,49,29,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,17,11
Lettuce,67,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,418,20,35,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,21,58
Potato,102,cups,Grains,Mashed Potatoes,Side Dish,Medium,118,34,47,7,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,53,115
Carrot,172,pieces,Vegetables,Carrot Soup,Soup,Medium,372,28,31,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,14,109
Onion,73,slices,Vegetables,Onion Rings,Snack,Medium,161,30,12,7,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,22,101
Chicken,185,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,158,38,7,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,37,48
Broccoli,128,ounces,Vegetables,Broccoli Salad,Lunch,Medium,383,23,6,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,25,12
Rice,192,cups,Grains,Tomato Soup,Soup,Medium,229,39,10,30,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,56,113
Tomato,131,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,483,49,46,25,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,30,86
Spinach,164,slices,Dairy,Rice Pilaf,Snack,Hard,136,50,32,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,9,82
Beef,134,grams,Proteins,Beef Stir-Fry,Dinner,Medium,191,7,25,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,34,79
